+COORDENADAS DE LA SILUETA — BRATTYPOLITAN EXPERIENCE
Referencia curada V2: mujer constelación. Coordenadas normalizadas 0–1.
FORMATO: ID | X_norm | Y_norm | brillo_0_255 | grupo | tamano
GRUPOS: cabello, rostro, facciones, cuerpo.
Nota: sólo se incluyen conexiones detectadas de los trazos; los puntos aislados conservan aire y detalle.

PUNTOS
0001 | 0.454667 | 0.420641 | 255 | facciones | 4.0
0002 | 0.669333 | 0.658327 | 255 | cuerpo | 4.0
0003 | 0.490667 | 0.314308 | 255 | rostro | 4.0
0004 | 0.476000 | 0.332291 | 255 | rostro | 4.0
0005 | 0.234667 | 0.341673 | 255 | cabello | 4.0
0006 | 0.545333 | 0.411259 | 255 | facciones | 4.0
0007 | 0.652000 | 0.414386 | 255 | facciones | 4.0
0008 | 0.489333 | 0.446443 | 255 | facciones | 4.0
0009 | 0.569333 | 0.559812 | 255 | facciones | 4.0
0010 | 0.697333 | 0.612197 | 255 | rostro | 4.0
0011 | 0.818667 | 0.632525 | 255 | cabello | 4.0
0012 | 0.624000 | 0.770915 | 255 | cabello | 4.0
0013 | 0.512000 | 0.222830 | 255 | cabello | 4.0
0014 | 0.494667 | 0.334636 | 255 | rostro | 4.0
0015 | 0.722667 | 0.379984 | 255 | cabello | 4.0
0016 | 0.426667 | 0.408913 | 255 | facciones | 4.0
0017 | 0.362667 | 0.414386 | 255 | facciones | 4.0
0018 | 0.676000 | 0.442533 | 255 | facciones | 4.0
0019 | 0.448000 | 0.451134 | 255 | facciones | 4.0
0020 | 0.609333 | 0.451916 | 255 | facciones | 4.0
0021 | 0.490667 | 0.480063 | 255 | facciones | 4.0
0022 | 0.734667 | 0.261923 | 255 | cabello | 4.0
0023 | 0.546667 | 0.311181 | 255 | rostro | 4.0
0024 | 0.566667 | 0.408131 | 255 | facciones | 4.0
0025 | 0.618667 | 0.429242 | 255 | facciones | 4.0
0026 | 0.769333 | 0.659109 | 255 | cabello | 4.0
0027 | 0.709333 | 0.356529 | 255 | cabello | 4.0
0028 | 0.714667 | 0.384676 | 255 | cabello | 4.0
0029 | 0.289333 | 0.403440 | 255 | facciones | 4.0
0030 | 0.530667 | 0.419077 | 255 | facciones | 4.0
0031 | 0.418667 | 0.677091 | 255 | cuerpo | 4.0
0032 | 0.878667 | 0.788898 | 255 | cabello | 4.0
0033 | 0.328000 | 0.305708 | 255 | rostro | 4.0
0034 | 0.342667 | 0.394840 | 255 | facciones | 4.0
0035 | 0.557333 | 0.451134 | 255 | facciones | 4.0
0036 | 0.489333 | 0.455825 | 255 | facciones | 4.0
0037 | 0.662667 | 0.763096 | 255 | cabello | 4.0
0038 | 0.652000 | 0.289289 | 255 | rostro | 4.0
0039 | 0.366667 | 0.374511 | 255 | rostro | 4.0
0040 | 0.644000 | 0.403440 | 255 | facciones | 4.0
0041 | 0.634667 | 0.435497 | 255 | facciones | 4.0
0042 | 0.670667 | 0.511337 | 255 | rostro | 4.0
0043 | 0.788000 | 0.692729 | 255 | cabello | 4.0
0044 | 0.356000 | 0.339328 | 255 | rostro | 4.0
0045 | 0.361333 | 0.387021 | 255 | facciones | 4.0
0046 | 0.570667 | 0.392494 | 255 | facciones | 4.0
0047 | 0.604000 | 0.427678 | 255 | facciones | 4.0
0048 | 0.434667 | 0.450352 | 255 | facciones | 4.0
0049 | 0.312000 | 0.494136 | 255 | rostro | 4.0
0050 | 0.490667 | 0.501955 | 255 | facciones | 4.0
0051 | 0.356000 | 0.568413 | 255 | rostro | 4.0
0052 | 0.292000 | 0.571540 | 255 | cabello | 4.0
0053 | 0.902667 | 0.693511 | 255 | cabello | 4.0
0054 | 0.872000 | 0.724785 | 255 | cabello | 4.0
0055 | 0.496000 | 0.187647 | 255 | cabello | 4.0
0056 | 0.248000 | 0.286161 | 255 | cabello | 4.0
0057 | 0.570667 | 0.336982 | 255 | rostro | 4.0
0058 | 0.353333 | 0.345583 | 255 | rostro | 4.0
0059 | 0.578667 | 0.351056 | 255 | rostro | 4.0
0060 | 0.337333 | 0.376075 | 255 | rostro | 4.0
0061 | 0.461333 | 0.411259 | 255 | facciones | 4.0
0062 | 0.668000 | 0.433933 | 255 | facciones | 4.0
0063 | 0.576000 | 0.445661 | 255 | facciones | 4.0
0064 | 0.586667 | 0.452697 | 255 | facciones | 4.0
0065 | 0.309333 | 0.557467 | 255 | rostro | 4.0
0066 | 0.904000 | 0.716966 | 255 | cabello | 4.0
0067 | 0.854667 | 0.724785 | 255 | cabello | 4.0
0068 | 0.609333 | 0.266614 | 255 | cabello | 4.0
0069 | 0.741333 | 0.300235 | 255 | cabello | 4.0
0070 | 0.452000 | 0.364347 | 255 | rostro | 4.0
0071 | 0.606667 | 0.404222 | 255 | facciones | 4.0
0072 | 0.644000 | 0.438624 | 255 | facciones | 4.0
0073 | 0.585333 | 0.658327 | 255 | cuerpo | 4.0
0074 | 0.762667 | 0.776388 | 255 | cabello | 4.0
0075 | 0.390667 | 0.197029 | 255 | cabello | 4.0
0076 | 0.624000 | 0.446443 | 255 | facciones | 4.0
0077 | 0.682667 | 0.462862 | 255 | rostro | 4.0
0078 | 0.672000 | 0.619234 | 255 | rostro | 4.0
0079 | 0.729333 | 0.806880 | 255 | cabello | 4.0
0080 | 0.260000 | 0.300235 | 255 | cabello | 4.0
0081 | 0.505333 | 0.301798 | 255 | rostro | 4.0
0082 | 0.694667 | 0.329945 | 255 | rostro | 4.0
